AIRLINES,YEAR,MONTH,"DEPARTURES
(IN NUMBER)","HOURS
(IN NUMBER)","KILOMETRE
(IN THOUSAND)","PASSENGERS CARRIED
(IN NUMBER)","PASSENGER KMS.PERFORMED
(IN THOUSAND)","AVAILABLE SEAT KILOMETRE
(IN THOUSAND)"," PAX.LOAD FACTOR#
(IN %)"," FREIGHT
(IN TONNE)","MAIL
(IN TONNE)"," TOTAL
(IN TONNE)"," PASSENGER
(IN THOUSAND)","FREIGHT
(IN THOUSAND)"," MAIL
(IN THOUSAND)"," TOTAL
(IN THOUSAND)","AVAILABLE TONNE KILOMETRE
(IN THOUSAND)"," WEIGHT LOAD FACTOR##
(IN %)"
PAWAN HANS,2020,JUNE,28,18.33,2.388,11,1.11,26.268,4.225673824,0,0,0,25,0,0,25,644,3.881987578
PAWAN HANS,2020,JULY,34,22,2.84,18,1.508,31.24,4.827144686,0,0,0,115,0,0,115,1054,10.91081594
PAWAN HANS,2020,AUG,36,21.67,2.72,11,1.102,29.92,3.68315508,0,0,0,71,0,0,71,1099,6.460418562
PAWAN HANS,2020,SEP,44,27.5,3.454,45,3.769,37.994,9.919987366,0,0,0,230,0,0,230,1609,14.29459291
PAWAN HANS,2020,OCT,70,46.33,6.09,172,14.679,66.99,21.91222571,0,0,0,1061,0,0,1061,2689.15,39.45484633
PAWAN HANS,2020,NOV,70,45.83,5.97,163,13,65.67,19.79594944,0,0,0,994,0,0,994,3038,32.71889401
PAWAN HANS,2020,DEC,80,54.166,7.242,218,18.528,79.662,23.25826617,0,0,0,1322,0,0,1322,4191,31.5437843
PAWAN HANS,2019,JAN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAWAN HANS,2019,FEB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAWAN HANS,2019,MAR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
